headphone_id,brand,model,price,type,use_case,bass_level,sound_profile,noise_cancellation,user_rating,user_reviews
100,Turtle Beach,Stealth 700,149,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789
101,SteelSeries,Arctis 7,179,Over-ear,Gaming,Medium,Balanced,No,4.5,9876
102,Logitech,G733,129,Over-ear,Gaming,High,Bass-heavy,No,4.3,7890
103,Razer,BlackShark V2,99,Over-ear,Gaming,High,Bass-heavy,No,4.4,11234
104,HyperX,Cloud II,99,Over-ear,Gaming,High,Bass-heavy,No,4.5,13456
105,Corsair,HS80 RGB,129,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789
106,Astro,A50,299,Over-ear,Gaming,High,Bass-heavy,No,4.3,5678
107,SteelSeries,Arctis Pro Wireless,329,Over-ear,Gaming,Medium,Balanced,No,4.4,4567
108,Logitech,G Pro X Wireless,199,Over-ear,Gaming,Medium,Balanced,No,4.4,7890
109,Razer,Kraken V3 Pro,199,Over-ear,Gaming,High,Bass-heavy,Yes,4.2,5678
110,HyperX,Cloud Flight S,159,Over-ear,Gaming,High,Bass-heavy,No,4.3,4567
111,Turtle Beach,Elite Pro 2,199,Over-ear,Gaming,High,Bass-heavy,No,4.2,3456
112,Corsair,Void RGB Elite,99,Over-ear,Gaming,High,Bass-heavy,No,4.1,6789
113,EPOS,H6Pro,179,Over-ear,Gaming,Medium,Balanced,No,4.5,5678
114,Audeze,Penrose,299,Over-ear,Gaming,Low,Flat,No,4.4,2345
115,Drop,PC38X,169,Over-ear,Gaming,Medium,Balanced,No,4.7,8901
116,Audio-Technica,ATH-G1,169,Over-ear,Gaming,Medium,Balanced,No,4.3,3456
117,Beyerdynamic,MMX 300,299,Over-ear,Gaming,Medium,Flat,No,4.6,2345
118,Sennheiser,GSP 670,349,Over-ear,Gaming,Medium,Balanced,No,4.4,3456
119,ROCCAT,Elo 7.1 Air,99,Over-ear,Gaming,High,Bass-heavy,No,4.0,4567
120,Cooler Master,MH-670,119,Over-ear,Gaming,High,Bass-heavy,No,4.1,3456
