headphone_id,brand,model,price,type,use_case,bass_level,sound_profile,noise_cancellation,user_rating,user_reviews,image_url
63,Samsung,Galaxy Buds2 Pro,229,In-ear,Casual,Medium,Balanced,Yes,4.4,9876,https://i.rtings.com/assets/products/CxMKNsjx/samsung-galaxy-buds2-pro-truly-wireless/design-medium.jpg
64,Jabra,Elite 7 Pro,199,In-ear,Workout,Medium,Balanced,Yes,4.3,6789,https://i.rtings.com/assets/products/dSvLz2b5/jabra-elite-7-pro-truly-wireless/design-medium.jpg
65,Anker,Soundcore Liberty 4,149,In-ear,Casual,High,Bass-heavy,Yes,4.4,7890,https://i.rtings.com/assets/products/KCpvBYyh/anker-soundcore-liberty-4-truly-wireless/design-medium.jpg
66,Bose,QuietComfort Earbuds II,299,In-ear,Casual,Medium,Balanced,Yes,4.5,8901,https://i.rtings.com/assets/products/AQze2J9H/bose-quietcomfort-earbuds-ii-truly-wireless/design-medium.jpg
67,Sony,LinkBuds S,199,In-ear,Casual,Medium,Balanced,Yes,4.3,5678,https://i.rtings.com/assets/products/cWVnVQQx/sony-linkbuds-s-truly-wireless/design-medium.jpg
68,Nothing,Ear 2,149,In-ear,Casual,Medium,Balanced,Yes,4.2,4567,https://i.rtings.com/assets/products/PQXZ1nEm/nothing-ear-2-truly-wireless/design-medium.jpg
69,Google,Pixel Buds Pro,199,In-ear,Casual,Medium,Balanced,Yes,4.1,6789,https://i.rtings.com/assets/products/QmqIQjpq/google-pixel-buds-pro-truly-wireless/design-medium.jpg
70,Beats,Fit Pro,199,In-ear,Workout,High,Bass-heavy,Yes,4.4,8901,https://i.rtings.com/assets/products/m1LhZTnF/beats-fit-pro-truly-wireless/design-medium.jpg
71,Sennheiser,Momentum True Wireless 3,279,In-ear,Casual,Medium,Balanced,Yes,4.5,5678,https://i.rtings.com/assets/products/1sEGLPVl/sennheiser-momentum-true-wireless-3/design-medium.jpg
72,JBL,Live Pro 2,149,In-ear,Workout,High,Bass-heavy,Yes,4.2,4567,https://i.rtings.com/assets/products/Vg5KwkHM/jbl-live-pro-2-tws-truly-wireless/design-medium.jpg
73,Technics,EAH-AZ60,229,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/p2kkADqn/technics-eah-az60-truly-wireless/design-medium.jpg
74,Edifier,W820NB,59,Over-ear,Casual,High,Bass-heavy,Yes,4.2,9876,
75,Cowin,E7,69,Over-ear,Casual,High,Bass-heavy,Yes,4.0,8901,
76,TaoTronics,SoundSurge 60,59,Over-ear,Casual,High,Bass-heavy,Yes,4.0,7890,
77,1MORE,SonoFlow,99,Over-ear,Casual,Medium,Balanced,Yes,4.3,6789,https://i.rtings.com/assets/products/YmYZJQJb/1more-sonoflow-wireless/design-medium.jpg
78,Soundcore,Space Q45,149,Over-ear,Casual,Medium,Balanced,Yes,4.5,10234,https://i.rtings.com/assets/products/Y0vGhiRi/anker-soundcore-space-q45-wireless/design-medium.jpg
79,Cleer,Enduro ANC,179,Over-ear,Casual,Medium,Balanced,Yes,4.2,3456,
80,Mixcder,E9,79,Over-ear,Casual,High,Bass-heavy,Yes,3.9,5678,
81,Treblab,Z2,89,Over-ear,Workout,High,Bass-heavy,No,4.0,4567,
82,Mpow,H21,69,Over-ear,Casual,High,Bass-heavy,Yes,4.0,6789,
83,Status,Audio Between 3ANC,149,Over-ear,Casual,Medium,Balanced,Yes,4.1,3456,
84,Ausounds,AU-Stream Hybrid,299,Over-ear,Casual,Medium,Balanced,Yes,4.2,2345,
85,KEF,Mu3,249,In-ear,Casual,Low,Balanced,Yes,4.4,3456,
86,Devialet,Gemini,349,In-ear,Casual,Low,Balanced,Yes,4.3,2345,https://i.rtings.com/assets/products/NNibZwW9/devialet-gemini-truly-wireless/design-medium.jpg
87,Master & Dynamic,MW08,299,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/OeBKLuUH/master-dynamic-mw08-truly-wireless/design-medium.jpg
88,Bang & Olufsen,Beoplay EX,399,In-ear,Casual,Low,Balanced,Yes,4.5,2345,https://i.rtings.com/assets/products/IVd2lKJx/bang-olufsen-beoplay-ex-truly-wireless/design-medium.jpg
89,Bowers & Wilkins,PI7 S2,399,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/C8K3xj7S/bowers-wilkins-pi7-s2-truly-wireless/design-medium.jpg
90,Cambridge Audio,Melomania 1 Plus,129,In-ear,Casual,Medium,Balanced,No,4.3,4567,https://i.rtings.com/assets/products/DJlI2Zio/cambridge-audio-melomania-1-truly-wireless/design-medium.jpg
91,Noble,FoKus Pro,449,In-ear,Studio,Low,Flat,Yes,4.6,1234,
92,Campfire,Audio Ara,1299,In-ear,Studio,Low,Flat,No,4.7,876,
93,Shure,AONIC 50,299,Over-ear,Studio,Low,Flat,Yes,4.5,3456,https://i.rtings.com/assets/products/pjSEnW5P/shure-aonic-50-wireless/design-medium.jpg
94,Shure,AONIC 40,249,Over-ear,Studio,Low,Flat,Yes,4.4,4567,https://i.rtings.com/assets/products/w4DKsJUY/shure-aonic-40-wireless/design-medium.jpg
95,AKG,N700NC M2,299,Over-ear,Casual,Medium,Balanced,Yes,4.3,4567,https://i.rtings.com/assets/products/elNXHgN6/akg-n700nc-m2-wireless/design-medium.jpg
96,Harman Kardon,FLY ANC,199,Over-ear,Casual,Medium,Balanced,Yes,4.2,3456,
97,JBL,Tour One M2,299,Over-ear,Casual,High,Bass-heavy,Yes,4.3,5678,https://i.rtings.com/assets/products/vU7fGfGa/jbl-tour-one-m2-wireless/design-medium.jpg
98,Sony,INZONE H9,299,Over-ear,Gaming,High,Bass-heavy,Yes,4.4,6789,https://i.rtings.com/assets/products/ohbdEZ5v/sony-inzone-h9-wireless/design-medium.jpg
99,Razer,Opus X,99,Over-ear,Gaming,High,Bass-heavy,Yes,4.1,5678,https://i.rtings.com/assets/products/u6fUwGW9/razer-opus-x-wireless/design-medium.jpg
100,Turtle Beach,Stealth 700,149,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789,https://i.rtings.com/assets/products/H18FLdnE/turtle-beach-stealth-700-gen-2-wireless/design-medium.jpg
101,SteelSeries,Arctis 7,179,Over-ear,Gaming,Medium,Balanced,No,4.5,9876,https://i.rtings.com/assets/products/k5M3Gn0G/steelseries-arctis-7-2019-edition-wireless/design-medium.jpg
102,Logitech,G733,129,Over-ear,Gaming,High,Bass-heavy,No,4.3,7890,https://i.rtings.com/assets/products/XYXBwexV/logitech-g733-lightspeed-wireless/design-medium.jpg
103,Razer,BlackShark V2,99,Over-ear,Gaming,High,Bass-heavy,No,4.4,11234,https://i.rtings.com/assets/products/PaFp32Nw/razer-blackshark-v2-pro-wireless-2020/design-medium.jpg
104,HyperX,Cloud II,99,Over-ear,Gaming,High,Bass-heavy,No,4.5,13456,https://i.rtings.com/assets/products/uULa25wC/hyperx-cloud-2-cloud-ii/design-medium.jpg
105,Corsair,HS80 RGB,129,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789,https://i.rtings.com/assets/products/m8C6yoV2/corsair-hs80-rgb-wireless/design-medium.jpg
106,Astro,A50,299,Over-ear,Gaming,High,Bass-heavy,No,4.3,5678,https://i.rtings.com/assets/products/UXlBJOMV/astro-a50-x-wireless/design-medium.jpg
107,SteelSeries,Arctis Pro Wireless,329,Over-ear,Gaming,Medium,Balanced,No,4.4,4567,https://i.rtings.com/assets/products/q2nVRrTL/steelseries-arctis-pro-wireless/design-medium.jpg
108,Logitech,G Pro X Wireless,199,Over-ear,Gaming,Medium,Balanced,No,4.4,7890,https://i.rtings.com/assets/products/1wh5FOwk/logitech-g-pro-x-wireless-lightspeed/design-medium.jpg
109,Razer,Kraken V3 Pro,199,Over-ear,Gaming,High,Bass-heavy,Yes,4.2,5678,https://i.rtings.com/assets/products/IqJdBp2r/razer-kraken-v3-pro-wireless/design-medium.jpg
110,HyperX,Cloud Flight S,159,Over-ear,Gaming,High,Bass-heavy,No,4.3,4567,https://i.rtings.com/assets/products/m5GdFYuL/hyperx-cloud-flight-s-wireless/design-medium.jpg
111,Turtle Beach,Elite Pro 2,199,Over-ear,Gaming,High,Bass-heavy,No,4.2,3456,
112,Corsair,Void RGB Elite,99,Over-ear,Gaming,High,Bass-heavy,No,4.1,6789,https://i.rtings.com/assets/products/5gqMhNM7/corsair-void-rgb-elite-wireless/design-medium.jpg
113,EPOS,H6Pro,179,Over-ear,Gaming,Medium,Balanced,No,4.5,5678,https://i.rtings.com/assets/products/WFJ0IYzA/epos-h6pro-open/design-medium.jpg
114,Audeze,Penrose,299,Over-ear,Gaming,Low,Flat,No,4.4,2345,https://i.rtings.com/assets/products/VnV5aOKJ/audeze-penrose-wireless/design-medium.jpg
115,Drop,PC38X,169,Over-ear,Gaming,Medium,Balanced,No,4.7,8901,https://i.rtings.com/assets/products/jMFYS8HV/drop-sennheiser-pc38x/design-medium.jpg
116,Audio-Technica,ATH-G1,169,Over-ear,Gaming,Medium,Balanced,No,4.3,3456,
117,Beyerdynamic,MMX 300,299,Over-ear,Gaming,Medium,Flat,No,4.6,2345,https://i.rtings.com/assets/products/Bff9hskf/beyerdynamic-mmx-300-2nd-generation/design-medium.jpg
118,Sennheiser,GSP 670,349,Over-ear,Gaming,Medium,Balanced,No,4.4,3456,https://i.rtings.com/assets/products/6KMuiJnp/sennheiser-gsp-670-wireless/design-medium.jpg
119,ROCCAT,Elo 7.1 Air,99,Over-ear,Gaming,High,Bass-heavy,No,4.0,4567,https://i.rtings.com/assets/products/zXZHDAIq/roccat-elo-7-1-air-wireless/design-medium.jpg
120,Cooler Master,MH-670,119,Over-ear,Gaming,High,Bass-heavy,No,4.1,3456,https://i.rtings.com/assets/products/Gl6CJT5n/cooler-master-mh670-wireless/design-medium.jpg
